Display Value
Amador - El Dorado CAL FIRE
Angeles National Forest
Bakersfield District - BLM (retired code)
Beale Air Force Base FD
Bitter Creek National Wildlife Refuge
Butte CAL FIRE
CA Desert District - BLM
Camp Pendleton Marine Corps Base
Carson City District - BLM
Central CA District - BLM
Channel Islands - NPS
City of Weed Vol. Fire Dept.
Clear Lake National Wildlife Refuge
Cleveland National Forest
Colorado River Agency
Colorado River District
Death Valley NP
Delevan National Wildlife Refuge
Don Edwards San Francisco Bay National Wildlife Refuge
Eldorado National Forest
Ellicott Slough National Wildlife Refuge
Fort Yuma Agency
Fremont National Forest
Fresno-Kings CAL FIRE
Golden Gate National Recreation Area - NPS
Hoopa Valley Tribe
Hopper Mountain National Wildlife Refuge
Humboldt-Toiyabe National Forest
Humboldt - Del Norte CAL FIRE
Inyo National Forest
Joshua Tree NP
Kern County
Kern National Wildlife Refuge
Klamath National Forest
Lake Tahoe Basin Management Unit
Lakeview District
Lassen - Modoc CAL FIRE
Lassen National Forest
Lassen Volcanic NP
Lava Beds National Monument
Linda Fire Department
Los Angeles City FD
Los Angeles County
Los Padres National Forest
Lower Klamath National Wildlife Refuge
Madera - Mariposa CAL FIRE
Marin County
Mendocino CAL FIRE
Mendocino National Forest
Merced National Wildlife Refuge
Modoc National Forest
Modoc National Wildlife Refuge
Mojave - NPS
Monterey - San Benito CAL FIRE
Nevada - Yuba - Placer CAL FIRE
Northern CA District - BLM
Orange County
Pixley National Wildlife Refuge
Plumas National Forest
Point Reyes National Seashore
Redwood National and State Parks
Riverside CAL FIRE
Rogue River - Siskiyou NF
Sacramento National Wildlife Refuge
Sacramento River National Wildlife Refuge
San Bernardino CAL FIRE
San Bernardino National Forest
San Diego Bay National Wildlife Refuge
San Diego CAL FIRE
San Diego CAL FIRE (retired code)
San Diego National Wildlife Refuge
San Joaquin River National Wildlife Refuge
San Luis National Wildlife Refuge
San Luis Obispo CAL FIRE
San Mateo - Santa Cruz CAL FIRE
San Pablo Bay National Wildlife Refuge
Santa Barbara County
Santa Clara CAL FIRE
Santa Monica Mtns National Recreation Area
Sequoia - Kings Canyon NP
Sequoia National Forest
Shasta-Trinity National Forest
Shasta - Trinity CAL FIRE
Sierra National Forest
Siskiyou CAL FIRE
Siskiyou National Forest
Six Rivers National Forest
Sonny Bono Salton Sea National Wildlife Refuge
Sonoma - Lake - Napa CAL FIRE
Stanislaus National Forest
Stone Lakes National Wildlife Refuge
Sutter National Wildlife Refuge
Tahoe National Forest
Tehama - Glenn CAL FIRE
Toiyabe National Forest
Tulare CAL FIRE
Tule Lake National Wildlife Refuge
Tule River Agency
Tuolumne - Calaveras CAL FIRE
Vallejo Fire Dept.
Vandenberg Air Force Base
Ventura County
Yosemite National Park
