_id,ALARM_DATE,CONT_DATE,GIS_ACRES,Shape__Area,Shape__Length,YEAR_,STATE,FIRE_NAME,INC_NUM
65,14/08/2023,17/8/2023,52.54716,318702.4023,4868.132912,2023,CA,TROTTER,23-37821
66,14/08/2023,14/8/2023,4.713907,28567.82422,1609.346326,2023,CA,GROVE,23-37846
67,19/08/2023,19/8/2023,34.64903,212358.3164,2262.750295,2023,CA,BLACKWELL,23-38706
68,27/08/2023,27/8/2023,4.015996,24437.21094,825.4634468,2023,CA,SEMI,23-39887
69,28/08/2023,28/8/2023,33.32077,205300.0156,2251.139338,2023,CA,DEN,23-40087
70,09/09/2023,9/9/2023,7.908133,48110.35156,1631.93772,2023,CA,ROLLING,23-41929
71,09/09/2023,10/9/2023,7.309518,44897.99219,924.0046553,2023,CA,TULE,23-42016
72,16/09/2023,17/9/2023,55.02539,334837.2266,3260.976917,2023,CA,CALIENTE ,23-43040
73,21/09/2023,21/9/2023,10.37647,63111.26172,1553.043777,2023,CA,FLAT,23-43755
74,22/09/2023,22/9/2023,5.175606,31535.89844,1666.751888,2023,CA,TOWER ,23-43839
75,22/09/2023,22/9/2023,5.002238,30675.01172,1041.266043,2023,CA,POSO ,23-43936
76,26/09/2023,27/9/2023,7.971368,48879.41016,1049.611246,2023,CA,BLUE BARN ,23-44532
77,27/09/2023,27/9/2023,6.430629,39461.25391,987.0435636,2023,CA,CORNER,23-44583
78,27/09/2023,27/9/2023,13.71712,82917.83594,1781.110361,2023,CA,ROCK,23-44588
79,06/10/2023,6/10/2023,4.440306,27030.42578,1277.931063,2023,CA,SKY,23-45999
80,07/10/2023,7/10/2023,3.030688,18364.57422,881.1876633,2023,CA,LIERLY,23-46196
81,18/10/2023,18/10/2023,5.226628,32146.07422,860.3486968,2023,CA,ANNETTE,23-47880
82,26/10/2023,26/10/2023,6.315729,38482.625,850.9716783,2023,CA,CREEK,23-49122
83,28/10/2023,28/10/2023,8.496378,52123.60547,1176.991439,2023,CA,SHERWOOD,23-49440
84,29/10/2023,29/10/2023,8.202892,49831.30469,1154.948386,2023,CA,CROCKER,23-49527
85,29/10/2023,29/10/2023,5.487661,33676.47656,978.3950902,2023,CA,BRONZE,23-49619
86,02/11/2023,2/11/2023,16.76435,102302.5898,1533.5444,2023,CA,KERN,23-50199
87,08/11/2023,8/11/2023,86.2767,527799.0625,3885.537834,2023,CA,LINE,23-51193
88,10/11/2023,10/11/2023,15.04139,92238.10547,1413.351239,2023,CA,FIELD,23-51487
89,11/05/2023,11/5/2023,3.00047,46223.17578,1389.531203,2023,CA,FANO,23-21349
90,21/11/2023,21/11/2023,3.433622,21001.19531,568.7884946,2023,CA,FANO 2,23-53238
91,07/10/2023,7/10/2023,7.258909,44394.96875,1535.679784,2023,CA,FRONT,23-46180
92,18/10/2023,18/10/2023,13.32836,81629.73047,1303.981655,2023,CA,HOLLOW,23-47784
93,19/08/2023,31/8/2023,5761.521,34771286.98,52880.15076,2023,CA,PLANT,11307
94,09/11/2023,13/11/2023,211.192,1263209.254,6407.743677,2023,CA,SUN,15577
95,06/10/2023,7/10/2023,95.66613,572195.2266,5628.224113,2023,CA,GRADE,13773
96,15/06/2023,15/6/2023,94.27705,729429.2852,4916.562531,2023,CA,SCOTT,16726
97,23/06/2023,23/6/2023,58.00984,392011.0938,2779.400656,2023,CA,PEOIRA,17574
98,30/05/2023,30/5/2023,13.73,91543.41406,1820.06845,2023,CA,SICARD,15137
99,03/12/2023,3/12/2023,3.12156,18763.00781,975.0705678,2023,CA,TULE 2,23-55247
100,04/12/2023,4/12/2023,2.2649,13228,666.5913206,2023,CA,RANCHO,23-55468
101,15/12/2023,16/12/2023,169.973,1041987.031,5519.316141,2023,CA,PINE,23-57131
102,03/07/2023,3/7/2023,83,528590.0625,3723.288001,2023,CA,WHISKEY,14460
103,13/08/2023,16/8/2023,4.5,27820.04297,740.6788169,2023,CA,WILLIAMS,4739
104,26/07/2023,27/7/2023,1.655345,9795.050781,785.6992822,2023,CA,TRAIL,63257
105,05/07/2023,6/7/2023,13.01236,77596.91016,1574.084649,2023,CA,VILLANOVA,56809
106,09/12/2023,12/12/2023,2715.4,16143487.74,46856.17004,2023,CA,SOUTH,105733
107,09/08/2023,10/8/2023,531.0221,3125684.391,9266.773274,2023,CA,ROCK,116806
108,26/07/2023,7/8/2023,2323.106,13545480.47,30310.04848,2023,CA,BONNY,109851
109,06/10/2023,9/10/2023,53.9,334473.5117,4810.724899,2023,CA,WILLIAMS,5844
110,16/07/2023,16/7/2023,9.532271,63489.28906,1306.552597,2023,CA,TANWOODS,20208
111,05/08/2023,5/8/2023,25,166830.6016,2057.586202,2023,CA,FOOTHILLS,22526
112,11/07/2023,11/7/2023,11.63,72340.89063,1438.594124,2023,CA,BREWER,19665
113,09/06/2023,9/6/2023,44,297833.75,3808.764007,2023,CA,ERIC,16161
114,26/07/2023,31/7/2023,10.8,71087.25,1270.332734,2023,CA,SPENCEVILLE,21414
115,31/07/2023,31/7/2023,16.6,16168.75391,721.6105664,2023,CA,DOOLITTLE,21981
116,02/07/2023,2/7/2023,106,689467.5195,5341.280421,2023,CA,GANN,8603
117,29/08/2023,29/8/2023,0.46,3168.898438,219.2832881,2023,CA,HAZEL,10484
118,15/08/2023,16/8/2023,695.1143,4249745.027,11155.58902,2023,CA,BITTER,12683
119,26/09/2023,26/9/2023,0.3076231,1873.503906,190.5231008,2023,CA,BEAR,15095
120,21/10/2023,21/10/2023,6.247237,38117.00391,853.7018552,2023,CA,HILL,16517
121,10/06/2023,10/6/2023,1.184759,7278.503906,386.2766137,2023,CA,ESTRELLA,8889
122,06/10/2023,9/10/2023,247.2606,1514331.992,6555.816896,2023,CA,GREEN,15639
123,01/09/2023,1/9/2023,14.83849,91436.52734,1464.358979,2023,CA,SHORES,13684
124,30/10/2023,30/10/2023,25.73028,156659.0078,2154.118556,2023,CA,DIABLO,16998
125,10/11/2023,11/11/2023,6.738468,40989.48047,1206.447219,2023,CA,SUMMIT,17623
126,12/11/2023,12/11/2023,1.519355,9182.496094,512.6882161,2023,CA,BRIDGE,17715
127,01/06/2023,1/6/2023,3.37118,20769.66016,606.9995612,2023,CA,ROCK,8396
128,13/11/2023,13/11/2023,31.01117,189929.9883,1938.039336,2023,CA,ALMOND,17791
129,20/11/2023,20/11/2023,9.52999,58357.01953,2106.673213,2023,CA,VALLEY,18197
130,03/06/2023,3/6/2023,1.171606,7202.011719,343.1320916,2023,CA,JARDINE,8495
131,10/11/2023,10/11/2023,4.502316,27563.99219,771.2271891,2023,CA,GREEN,17614
