weatherstn,ALARM_DATE,obs,obs_value,Fire station name,UNIT_ID,GIS_ACRES,Shape__Area,Shape__Length,YEAR_,fire_occurred
US1CAHM0029,2011-08-14,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,20.65554,151426.0938,1793.159999,2011.0,1
US1CAHM0029,2011-08-14,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,20.65554,151426.0938,1793.159999,2011.0,1
US1CAHM0029,2011-11-01,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,62.84015,444364.5,2739.616284,2011.0,1
US1CAHM0029,2011-11-10,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,55.09675,386875.6953,3677.968098,2011.0,1
US1CAHM0029,2011-11-01,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,62.84015,444364.5,2739.616284,2011.0,1
US1CAHM0029,2011-11-10,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,55.09675,386875.6953,3677.968098,2011.0,1
US1CAHM0029,2013-03-10,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,10.09579,73741.22656,1048.731373,2013.0,1
US1CAHM0029,2013-03-10,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,10.09579,73741.22656,1048.731373,2013.0,1
US1CAHM0029,2013-07-12,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,36.49929,253638.8203,2106.591607,2013.0,1
US1CAHM0029,2013-07-14,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,22.16579,153979.9141,2674.904487,2013.0,1
US1CAHM0029,2013-07-12,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,36.49929,253638.8203,2106.591607,2013.0,1
US1CAHM0029,2013-07-14,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,22.16579,153979.9141,2674.904487,2013.0,1
US1CAHM0029,2013-08-15,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,14.90101,103745.4453,1651.948124,2013.0,1
US1CAHM0029,2013-08-15,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,14.90101,103745.4453,1651.948124,2013.0,1
US1CAHM0029,2014-01-04,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,17.42052,121955.6484,1435.289257,2014.0,1
US1CAHM0029,2014-01-04,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,332.1736,2348724.566,11625.18584,2014.0,1
US1CAHM0029,2014-01-04,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,17.42052,121955.6484,1435.289257,2014.0,1
US1CAHM0029,2014-01-04,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,332.1736,2348724.566,11625.18584,2014.0,1
