weatherstn,ALARM_DATE,Fire station name,UNIT_ID,GIS_ACRES,Shape__Area,Shape__Length,YEAR_
USC00040332,2023-08-28,Kern County,KRN,33.32077,205300.0156,2251.139338,2023
USC00040332,2023-09-09,Kern County,KRN,7.908133,48110.35156,1631.93772,2023
USC00040332,2023-09-09,Kern County,KRN,7.309518,44897.99219,924.0046553,2023
USC00040332,2023-09-16,Kern County,KRN,55.02539,334837.2266,3260.976917,2023
USC00040332,2023-09-21,Kern County,KRN,10.37647,63111.26172,1553.043777,2023
USC00040332,2023-09-22,Kern County,KRN,5.175606,31535.89844,1666.751888,2023
USC00040332,2023-09-22,Kern County,KRN,5.002238,30675.01172,1041.266043,2023
USC00040332,2023-09-26,Kern County,KRN,7.971368,48879.41016,1049.611246,2023
USC00040332,2023-09-27,Kern County,KRN,6.430629,39461.25391,987.0435636,2023
USC00040332,2023-09-27,Kern County,KRN,13.71712,82917.83594,1781.110361,2023
USC00040332,2023-10-06,Kern County,KRN,4.440306,27030.42578,1277.931063,2023
USC00040332,2023-10-07,Kern County,KRN,3.030688,18364.57422,881.1876633,2023
USC00040332,2023-10-18,Kern County,KRN,5.226628,32146.07422,860.3486968,2023
USC00040332,2023-10-26,Kern County,KRN,6.315729,38482.625,850.9716783,2023
USC00040332,2023-10-28,Kern County,KRN,8.496378,52123.60547,1176.991439,2023
USC00040332,2023-10-29,Kern County,KRN,8.202892,49831.30469,1154.948386,2023
USC00040332,2023-10-29,Kern County,KRN,5.487661,33676.47656,978.3950902,2023
USC00040332,2023-11-02,Kern County,KRN,16.76435,102302.5898,1533.5444,2023
USC00040332,2023-11-08,Kern County,KRN,86.2767,527799.0625,3885.537834,2023
USC00040332,2023-11-10,Kern County,KRN,15.04139,92238.10547,1413.351239,2023
USC00040332,2023-05-11,Kern County,KRN,3.00047,46223.17578,1389.531203,2023
USC00040332,2023-11-21,Kern County,KRN,3.433622,21001.19531,568.7884946,2023
USC00040332,2023-10-07,Kern County,KRN,7.258909,44394.96875,1535.679784,2023
USC00040332,2023-10-18,Kern County,KRN,13.32836,81629.73047,1303.981655,2023
USR0000CFIG,2023-08-19,Santa Barbara County,SBC,5761.521,34771286.98,52880.15076,2023
USR0000CFIG,2023-11-09,Santa Barbara County,SBC,211.192,1263209.254,6407.743677,2023
USR0000CFIG,2023-10-06,Santa Barbara County,SBC,95.66613,572195.2266,5628.224113,2023
USC00046136,2023-06-15,Nevada - Yuba - Placer CAL FIRE,NEU,94.27705,729429.2852,4916.562531,2023
USC00046136,2023-06-23,Nevada - Yuba - Placer CAL FIRE,NEU,58.00984,392011.0938,2779.400656,2023
USC00046136,2023-05-30,Nevada - Yuba - Placer CAL FIRE,NEU,13.73,91543.41406,1820.06845,2023
USC00040332,2023-12-03,Kern County,KRN,3.12156,18763.00781,975.0705678,2023
USC00040332,2023-12-04,Kern County,KRN,2.2649,13228.0,666.5913206,2023
USC00040332,2023-12-15,Kern County,KRN,169.973,1041987.031,5519.316141,2023
USC00045352,2023-07-03,Madera - Mariposa CAL FIRE,MMU,83.0,528590.0625,3723.288001,2023
USC00048338,2023-08-13,Monterey - San Benito CAL FIRE,BEU,4.5,27820.04297,740.6788169,2023
US1CAVT0031,2023-07-26,Ventura County,VNC,1.655345,9795.050781,785.6992822,2023
US1CAVT0031,2023-07-05,Ventura County,VNC,13.01236,77596.91016,1574.084649,2023
US1CAVT0031,2023-12-09,Ventura County,VNC,2715.4,16143487.74,46856.17004,2023
US1CASD0026,2023-08-09,Riverside CAL FIRE,RRU,531.0221,3125684.391,9266.773274,2023
US1CASD0026,2023-07-26,Riverside CAL FIRE,RRU,2323.106,13545480.47,30310.04848,2023
USC00048338,2023-10-06,Monterey - San Benito CAL FIRE,BEU,53.9,334473.5117,4810.724899,2023
USC00046136,2023-07-16,Nevada - Yuba - Placer CAL FIRE,NEU,9.532271,63489.28906,1306.552597,2023
USC00046136,2023-08-05,Nevada - Yuba - Placer CAL FIRE,NEU,25.0,166830.6016,2057.586202,2023
USC00046136,2023-07-11,Nevada - Yuba - Placer CAL FIRE,NEU,11.63,72340.89063,1438.594124,2023
USC00046136,2023-06-09,Nevada - Yuba - Placer CAL FIRE,NEU,44.0,297833.75,3808.764007,2023
USC00046136,2023-07-26,Nevada - Yuba - Placer CAL FIRE,NEU,10.8,71087.25,1270.332734,2023
USC00046136,2023-07-31,Nevada - Yuba - Placer CAL FIRE,NEU,16.6,16168.75391,721.6105664,2023
USC00046172,2023-07-02,Tuolumne - Calaveras CAL FIRE,TCU,106.0,689467.5195,5341.280421,2023
US1CAMD0033,2023-08-29,Mendocino CAL FIRE,MEU,0.46,3168.898438,219.2832881,2023
US1CASL0040,2023-08-15,San Luis Obispo CAL FIRE,SLU,695.1143,4249745.027,11155.58902,2023
US1CASL0040,2023-09-26,San Luis Obispo CAL FIRE,SLU,0.3076231,1873.503906,190.5231008,2023
US1CASL0040,2023-10-21,San Luis Obispo CAL FIRE,SLU,6.247237,38117.00391,853.7018552,2023
US1CASL0040,2023-06-10,San Luis Obispo CAL FIRE,SLU,1.184759,7278.503906,386.2766137,2023
US1CASL0040,2023-10-06,San Luis Obispo CAL FIRE,SLU,247.2606,1514331.992,6555.816896,2023
US1CASL0040,2023-09-01,San Luis Obispo CAL FIRE,SLU,14.83849,91436.52734,1464.358979,2023
US1CASL0040,2023-10-30,San Luis Obispo CAL FIRE,SLU,25.73028,156659.0078,2154.118556,2023
US1CASL0040,2023-11-10,San Luis Obispo CAL FIRE,SLU,6.738468,40989.48047,1206.447219,2023
US1CASL0040,2023-11-12,San Luis Obispo CAL FIRE,SLU,1.519355,9182.496094,512.6882161,2023
US1CASL0040,2023-06-01,San Luis Obispo CAL FIRE,SLU,3.37118,20769.66016,606.9995612,2023
US1CASL0040,2023-11-13,San Luis Obispo CAL FIRE,SLU,31.01117,189929.9883,1938.039336,2023
US1CASL0040,2023-11-20,San Luis Obispo CAL FIRE,SLU,9.52999,58357.01953,2106.673213,2023
US1CASL0040,2023-06-03,San Luis Obispo CAL FIRE,SLU,1.171606,7202.011719,343.1320916,2023
US1CASL0040,2023-11-10,San Luis Obispo CAL FIRE,SLU,4.502316,27563.99219,771.2271891,2023
US1CASL0040,2023-06-16,San Luis Obispo CAL FIRE,SLU,2.214254,13574.5,469.6282979,2023
US1CASL0040,2023-06-28,San Luis Obispo CAL FIRE,SLU,70.79186,431352.0039,3756.05652,2023
US1CASL0040,2023-07-16,San Luis Obispo CAL FIRE,SLU,2.151939,13226.49609,629.6460223,2023
US1CASL0040,2023-12-16,San Luis Obispo CAL FIRE,SLU,1.008626,6185.5,321.1371467,2023
US1CASL0040,2023-07-25,San Luis Obispo CAL FIRE,SLU,0.1144218,703.0,158.4008366,2023
US1CASL0040,2023-07-30,San Luis Obispo CAL FIRE,SLU,114.7964,701703.5039,4835.690479,2023
US1CASL0040,2023-08-16,San Luis Obispo CAL FIRE,SLU,5.272589,32346.00391,802.6412733,2023
US1CASL0040,2023-08-16,San Luis Obispo CAL FIRE,SLU,0.8171355,4988.0,328.3602865,2023
US1CASL0040,2023-08-18,San Luis Obispo CAL FIRE,SLU,5.66248,34542.0,744.2854631,2023
US1CASL0040,2023-08-26,San Luis Obispo CAL FIRE,SLU,1.682815,10172.0,386.1112356,2023
US1CASL0040,2023-12-16,San Luis Obispo CAL FIRE,SLU,3.066564,18742.50391,907.4344349,2023
US1CASL0040,2023-08-27,San Luis Obispo CAL FIRE,SLU,2.421318,14898.50391,648.9686714,2023
US1CASL0040,2023-08-31,San Luis Obispo CAL FIRE,SLU,0.7515653,4612.0,318.676944,2023
US1CASL0040,2023-09-10,San Luis Obispo CAL FIRE,SLU,8.690822,52689.99609,985.4806931,2023
US1CASL0040,2023-12-16,San Luis Obispo CAL FIRE,SLU,13.34245,81375.99219,1892.446627,2023
US1CASL0040,2023-09-10,San Luis Obispo CAL FIRE,SLU,1.702128,10438.49609,456.5777772,2023
US1CASL0040,2023-09-13,San Luis Obispo CAL FIRE,SLU,1.899265,11630.0,545.5958314,2023
US1CASL0040,2023-09-16,San Luis Obispo CAL FIRE,SLU,16.14059,98402.02344,1327.044614,2023
US1CALK0018,2023-06-16,Sonoma - Lake - Napa CAL FIRE,LNU,97.11945,646290.5742,4809.994658,2023
US1CAMD0033,2023-10-20,Mendocino CAL FIRE,MEU,0.14,1003.761719,123.1301504,2023
USC00048135,2023-09-14,Shasta - Trinity CAL FIRE,SHU,2.58,19125.0,804.2190128,2023
USC00048135,2023-07-12,Shasta - Trinity CAL FIRE,SHU,28.96,202759.4727,2702.150511,2023
USC00046172,2023-07-29,Tuolumne - Calaveras CAL FIRE,TCU,11.02161,71534.49609,1156.623555,2023
USC00045212,2023-04-06,San Bernardino CAL FIRE,BDU,54.54718,350211.7852,2757.578935,2023
US1CAHM0029,2023-08-08,Humboldt - Del Norte CAL FIRE,HUU,12.89246,92530.39844,1441.227204,2023
USR0000CMIO,2023-07-03,Tulare CAL FIRE,TUU,0.06657419,414.765625,76.78781006,2023
USR0000CMIO,2023-08-10,Tulare CAL FIRE,TUU,138.2095,867423.918,6351.43918,2023
US1CASD0026,2023-05-20,Riverside CAL FIRE,RRU,37.28043,217341.4961,2617.172917,2023
US1CASD0026,2023-08-02,Riverside CAL FIRE,RRU,14.43536,575218.6563,5876.394317,2023
US1CASD0026,2023-08-23,Riverside CAL FIRE,RRU,8.132599,47442.86719,1386.479847,2023
US1CASD0026,2023-08-06,Riverside CAL FIRE,RRU,1.601149,9430.558594,498.0321237,2023
US1CASD0026,2023-05-15,Riverside CAL FIRE,RRU,127.0,731642.0352,5497.28008,2023
USC00048338,2023-08-30,Monterey - San Benito CAL FIRE,BEU,1.98,12562.90234,905.0682928,2023
US1CAFR0033,2023-06-01,Fresno-Kings CAL FIRE,FKU,108.165,677867.4844,5071.888375,2023
US1CAFR0033,2023-06-09,Fresno-Kings CAL FIRE,FKU,20.1026,124507.4766,1543.886319,2023
US1CAFR0033,2023-08-12,Fresno-Kings CAL FIRE,FKU,19.1282,120709.5039,1950.548028,2023
US1CAFR0033,2023-06-08,Fresno-Kings CAL FIRE,FKU,25.7406,162906.5195,2143.026825,2023
US1CAFR0033,2023-06-27,Fresno-Kings CAL FIRE,FKU,23.8874,147926.9961,2307.82863,2023
US1CAFR0033,2023-07-14,Fresno-Kings CAL FIRE,FKU,14.3992,90620.97266,1396.624223,2023
US1CAFR0033,2023-07-07,Fresno-Kings CAL FIRE,FKU,30.3938,192113.9766,1855.005985,2023
US1CAFR0033,2023-05-30,Fresno-Kings CAL FIRE,FKU,127.146,806019.4688,4915.526109,2023
US1CAFR0033,2023-07-23,Fresno-Kings CAL FIRE,FKU,16.7198,106055.9609,1484.096199,2023
US1CAFR0033,2023-07-18,Fresno-Kings CAL FIRE,FKU,11.1383,66810.0,1221.562312,2023
US1CAFR0033,2023-09-07,Fresno-Kings CAL FIRE,FKU,60.4371,377722.9766,2728.967091,2023
US1CAFR0033,2023-07-25,Fresno-Kings CAL FIRE,FKU,27.6025,171684.0273,2019.182654,2023
USC00040798,2023-07-25,Los Angeles County,LAC,57.49,343984.6484,3500.446814,2023
USR0000CSMI,2023-11-23,San Diego National Wildlife Refuge,TNR,39.687,227598.1172,3033.238391,2023
USC00046144,2023-06-20,Don Edwards San Francisco Bay National Wildlife Refuge,FWR,26.82465,172802.5586,3060.632253,2023
USR0000CSAC,2023-07-04,Sacramento River National Wildlife Refuge,SRR,3.312726,22628.23438,819.9615095,2023
USC00045151,2023-05-30,Kern National Wildlife Refuge,KRR,2.545945,15670.00391,2808.000994,2023
USC00048105,2023-04-26,San Bernardino National Forest,BDF,226.9751,1348920.48,5930.428188,2023
USC00040543,2023-08-11,Los Padres National Forest,LPF,96.37685,583837.1289,4259.823555,2023
USC00040543,2023-05-19,Los Padres National Forest,LPF,48.99358,296880.8359,2127.610874,2023
USC00049083,2023-08-28,Shasta-Trinity National Forest,SHF,11.8399,84188.16406,1504.035864,2023
USC00041906,2023-06-16,Stanislaus National Forest,STF,1180.618,7716500.457,20201.04798,2023
USC00040543,2023-08-02,Los Padres National Forest,LPF,76.19935,458969.375,5270.885272,2023
USR0000CCHI,2023-07-10,Angeles National Forest,ANF,25.90652,155243.7656,1782.72359,2023
USC00041906,2023-09-11,Stanislaus National Forest,STF,836.8499,5496972.059,16129.79513,2023
USC00044518,2023-09-30,Sequoia National Forest,SQF,2857.988,18038140.2,34420.24696,2023
USR0000CTIM,2023-08-26,Modoc National Forest,MDF,12.34517,88649.96094,1544.82549,2023
USR0000CTIM,2023-09-19,Modoc National Forest,MDF,20.04021,146670.1484,2260.138454,2023
USC00049083,2023-08-15,Shasta-Trinity National Forest,SHF,31.21948,218677.4453,2238.919096,2023
USC00041906,2023-09-09,Stanislaus National Forest,STF,8645.426,56558852.22,73681.75826,2023
USR0000CCHI,2023-07-12,Angeles National Forest,ANF,16.75898,100156.1406,1554.751275,2023
USC00044176,2023-07-11,Sierra National Forest,SNF,23.56014,149300.5742,2063.393486,2023
USC00049083,2023-08-15,Shasta-Trinity National Forest,SHF,4198.194,29782851.64,55373.59929,2023
US1CADN0012,2023-08-15,Redwood National and State Parks,RWP,739.8182,5311222.496,17079.03742,2023
US1CADN0012,2023-08-25,Redwood National and State Parks,RWP,16.54212,118120.8828,1585.720548,2023
US1CADN0012,2023-08-15,Redwood National and State Parks,RWP,12.40059,88464.69141,1468.33548,2023
USC00049855,2023-06-29,Yosemite National Park,YNP,841.0,5451324.898,16477.84437,2023
USC00045352,2023-06-03,Madera - Mariposa CAL FIRE,MMU,67.26041,424802.3203,3601.6956,2023
USC00049102,2023-06-10,Joshua Tree NP,JTP,1033.308,6086124.551,15544.83904,2023
USC00041075,2023-09-13,Humboldt-Toiyabe National Forest,HTF,32.59397,216134.7305,4029.09343,2023
USC00041075,2023-10-25,Humboldt-Toiyabe National Forest,HTF,52.93411,360449.8633,4196.464519,2023
USR0000CTIM,2023-05-22,Modoc National Forest,MDF,8.502274,62117.34375,1985.069955,2023
USR0000CTIM,2023-05-24,Modoc National Forest,MDF,56.06239,401150.5234,5383.565434,2023
USC00049083,2023-07-02,Shasta-Trinity National Forest,SHF,5.702603,40440.67969,1171.615664,2023
USC00049600,2023-08-15,Lassen National Forest,LNF,8.922971,62661.88281,1019.671797,2023
USC00044518,2023-07-03,Sequoia National Forest,SQF,8.326042,48661.33203,1129.032027,2023
US1CAHM0144,2023-06-06,Six Rivers National Forest,SRF,5.489922,39466.57813,1768.088511,2023
USR0000CALD,2023-08-15,Mendocino National Forest,MNF,472.7209,3269595.191,12733.71857,2023
USC00041018,2023-08-16,Tahoe National Forest,TNF,44.80482,303525.9453,3664.241114,2023
USC00040543,2023-09-15,Los Padres National Forest,LPF,12.56114,76082.48438,3080.892878,2023
US1CAHM0144,2023-08-15,Six Rivers National Forest,SRF,76.7887,539647.9141,3204.006118,2023
USC00044518,2023-07-04,Sequoia National Forest,SQF,23.00138,140823.3281,2772.240031,2023
USC00040543,2023-10-12,Los Padres National Forest,LPF,259.8927,1579435.297,8222.418468,2023
USR0000CCHI,2023-07-25,Angeles National Forest,ANF,426.2046,2541744.766,8617.848862,2023
USC00044176,2023-10-14,Sierra National Forest,SNF,118.5461,757854.1055,5737.533666,2023
USC00044176,2023-06-17,Sierra National Forest,SNF,46.6567,295928.0234,3660.866521,2023
USR0000CCRE,2023-07-20,Inyo National Forest,INF,322.9609,2101383.68,6473.235344,2023
USR0000CWEE,2023-08-16,Siskiyou CAL FIRE,SKU,14.55784,106294.4883,1706.836858,2023
USR0000CWEE,2023-08-15,Siskiyou CAL FIRE,SKU,792.9697,5681507.43,16992.59133,2023
USR0000CWEE,2023-08-15,Siskiyou CAL FIRE,SKU,29.74612,212868.7422,2876.961818,2023
US1CAHM0029,2023-08-15,Humboldt - Del Norte CAL FIRE,HUU,1055.172,7430767.449,19672.84572,2023
USR0000CMIO,2023-08-10,Tulare CAL FIRE,TUU,300.792,1889136.363,8767.679546,2023
US1CAHM0144,2023-08-15,Six Rivers National Forest,SRF,89326.05,653153709.9,310391.9449,2023
US1CAHM0144,2023-08-16,Six Rivers National Forest,SRF,2836.39,19947931.85,68191.92947,2023
USC00041799,2023-08-15,Klamath National Forest,KNF,81.23029,590216.5859,4621.795022,2023
USC00041799,2023-08-15,Klamath National Forest,KNF,1935.952,14050384.42,23549.83663,2023
USC00041799,2023-08-15,Klamath National Forest,KNF,200.2064,1448786.512,8863.538671,2023
USC00041799,2023-08-18,Klamath National Forest,KNF,294.8512,2152075.215,6968.732878,2023
US1CAHM0144,2023-08-21,Six Rivers National Forest,SRF,1728.136,12457944.09,18526.71597,2023
US1CAHM0144,2023-08-17,Six Rivers National Forest,SRF,12152.45,87295981.71,191343.962,2023
US1CAHM0144,2023-08-17,Six Rivers National Forest,SRF,95.91678,692201.1914,7400.785106,2023
US1CAHM0144,2023-08-19,Six Rivers National Forest,SRF,20.01698,144629.1992,1822.039352,2023
US1CAHM0144,2023-08-15,Six Rivers National Forest,SRF,599.3448,4357972.82,9443.720863,2023
USC00041799,2023-08-15,Klamath National Forest,KNF,13875.25,100555093.6,92115.67863,2023
USC00041799,2023-08-15,Klamath National Forest,KNF,71.79534,519821.1875,10073.96726,2023
USC00041799,2023-08-16,Klamath National Forest,KNF,7850.58,57036758.54,56259.29605,2023
US1CAHM0144,2023-08-15,Six Rivers National Forest,SRF,1997.206,14446716.52,40356.36384,2023
US1CAHM0144,2023-08-15,Six Rivers National Forest,SRF,2677.779,19514022.41,36615.32112,2023
US1CAHM0144,2023-08-15,Six Rivers National Forest,SRF,1090.281,7980142.227,16299.19483,2023
US1CAHM0144,2023-08-15,Six Rivers National Forest,SRF,550.0559,4026102.227,16071.36531,2023
US1CAHM0144,2023-08-15,Six Rivers National Forest,SRF,378.4197,2754376.875,14197.46923,2023
US1CAHM0144,2023-08-15,Six Rivers National Forest,SRF,1684.73,11987004.55,19642.4491,2023
US1CAHM0144,2023-08-15,Six Rivers National Forest,SRF,34188.45,246667727.9,615710.5583,2023
USC00041799,2023-08-15,Klamath National Forest,KNF,6953.805,50631460.93,90233.50985,2023
USC00045212,2022-02-16,San Bernardino CAL FIRE,BDU,4140.06,26508134.59,85420.83522,2022
USC00046685,2022-05-24,Butte CAL FIRE,BTU,29.84678,202389.0859,2631.420753,2022
USC00042027,2022-06-13,Tehama - Glenn CAL FIRE,TGU,589.8671,4071594.289,13299.52201,2022
USC00046642,2022-06-03,San Mateo - Santa Cruz CAL FIRE,CZU,28.68488,185603.0039,2034.754555,2022
USC00042027,2022-06-28,Tehama - Glenn CAL FIRE,TGU,309.4793,2120494.129,7454.125266,2022
USC00046685,2022-07-18,Butte CAL FIRE,BTU,5.888545,40099.00391,1114.945675,2022
USC00046685,2022-06-22,Butte CAL FIRE,BTU,65.67123,445400.7617,4658.834524,2022
USC00046685,2022-06-30,Butte CAL FIRE,BTU,371.4677,2530611.766,11361.9184,2022
USC00046685,2022-07-09,Butte CAL FIRE,BTU,56.33854,382113.2891,3266.07796,2022
USC00046685,2022-06-30,Butte CAL FIRE,BTU,34.40428,234031.7852,2578.061874,2022
USC00046685,2022-07-04,Butte CAL FIRE,BTU,30.50697,207210.3867,2297.12397,2022
USC00046685,2022-05-08,Butte CAL FIRE,BTU,9.837949,66774.43359,1418.314799,2022
USC00046685,2022-06-23,Butte CAL FIRE,BTU,9.554518,65135.02734,1850.448485,2022
US1CASC0006,2022-06-13,Santa Clara CAL FIRE,SCU,16.40938,105358.9063,2236.602945,2022
USC00045212,2022-07-29,San Bernardino CAL FIRE,BDU,28.10259,167094.9336,3772.209162,2022
US1CASC0006,2022-05-24,Santa Clara CAL FIRE,SCU,12.17408,79041.08594,1564.277814,2022
US1CASC0006,2022-06-23,Santa Clara CAL FIRE,SCU,50.373,325599.0,2557.140821,2022
US1CASC0006,2022-07-18,Santa Clara CAL FIRE,SCU,14.51391,94507.52344,1774.282656,2022
US1CASC0006,2022-05-20,Santa Clara CAL FIRE,SCU,28.56241,186536.043,2205.787831,2022
US1CASC0006,2022-05-23,Santa Clara CAL FIRE,SCU,91.53281,593837.0391,3718.124846,2022
US1CASC0006,2022-05-18,Santa Clara CAL FIRE,SCU,65.37904,423776.0195,3956.833327,2022
US1CASC0006,2022-06-21,Santa Clara CAL FIRE,SCU,13.50571,87549.99609,1587.230254,2022
US1CASC0006,2022-06-23,Santa Clara CAL FIRE,SCU,551.7821,3567673.48,9866.887445,2022
US1CASC0006,2022-06-24,Santa Clara CAL FIRE,SCU,84.79446,553173.5078,5517.331407,2022
US1CASC0006,2022-07-19,Santa Clara CAL FIRE,SCU,173.7565,1125771.41,5923.650081,2022
US1CASC0006,2022-07-29,Santa Clara CAL FIRE,SCU,38.44807,249253.9688,3222.695362,2022
US1CASC0006,2022-05-15,Santa Clara CAL FIRE,SCU,131.9128,854787.0156,7418.304907,2022
US1CASC0006,2022-06-23,Santa Clara CAL FIRE,SCU,120.4983,787655.0273,5501.801024,2022
US1CASC0006,2022-08-03,Santa Clara CAL FIRE,SCU,19.18303,124655.8633,2921.786172,2022
USC00048702,2022-08-08,Lassen - Modoc CAL FIRE,LMU,11.36938,80933.24609,2120.065317,2022
USC00048702,2022-07-16,Lassen - Modoc CAL FIRE,LMU,129.1635,927202.0742,8290.924669,2022
US1CASC0006,2022-08-15,Santa Clara CAL FIRE,SCU,58.31763,377637.9453,4374.40493,2022
