US1CALK0018,20210512,PRCP,0,,,N,700.0
US1CALK0018,20210513,PRCP,0,,,N,700.0
US1CALK0018,20210514,PRCP,0,,,N,700.0
US1CALK0018,20210515,PRCP,0,,,N,700.0
US1CALK0018,20210516,PRCP,0,T,,N,700.0
US1CALK0018,20210517,PRCP,0,,,N,700.0
US1CALK0018,20210518,PRCP,0,,,N,700.0
US1CALK0018,20210519,PRCP,0,,,N,800.0
US1CALK0018,20210520,PRCP,0,,,N,700.0
US1CALK0018,20210521,PRCP,8,,,N,700.0
US1CALK0018,20210522,PRCP,0,,,N,700.0
US1CALK0018,20210523,PRCP,0,,,N,700.0
US1CALK0018,20210524,PRCP,0,,,N,700.0
US1CALK0018,20210525,PRCP,0,,,N,700.0
US1CALK0018,20210526,PRCP,0,,,N,700.0
US1CALK0018,20210527,PRCP,0,,,N,700.0
US1CALK0018,20210528,PRCP,0,,,N,700.0
US1CALK0018,20210529,PRCP,0,,,N,700.0
US1CALK0018,20210530,PRCP,0,,,N,700.0
US1CALK0018,20210531,PRCP,0,,,N,700.0
US1CALK0018,20210501,SNOW,0,,,N,700.0
US1CALK0018,20210502,SNOW,0,,,N,700.0
US1CALK0018,20210503,SNOW,0,,,N,700.0
US1CALK0018,20210504,SNOW,0,,,N,700.0
US1CALK0018,20210505,SNOW,0,,,N,700.0
US1CALK0018,20210506,SNOW,0,,,N,700.0
US1CALK0018,20210507,SNOW,0,,,N,700.0
US1CALK0018,20210508,SNOW,0,,,N,700.0
US1CALK0018,20210509,SNOW,0,,,N,700.0
US1CALK0018,20210510,SNOW,0,,,N,700.0
US1CALK0018,20210511,SNOW,0,,,N,700.0
US1CALK0018,20210512,SNOW,0,,,N,700.0
US1CALK0018,20210513,SNOW,0,,,N,700.0
US1CALK0018,20210514,SNOW,0,,,N,700.0
US1CALK0018,20210515,SNOW,0,,,N,700.0
US1CALK0018,20210516,SNOW,0,,,N,700.0
US1CALK0018,20210517,SNOW,0,,,N,700.0
US1CALK0018,20210518,SNOW,0,,,N,700.0
US1CALK0018,20210519,SNOW,0,,,N,800.0
US1CALK0018,20210520,SNOW,0,,,N,700.0
US1CALK0018,20210521,SNOW,0,,,N,700.0
US1CALK0018,20210522,SNOW,0,,,N,700.0
US1CALK0018,20210523,SNOW,0,,,N,700.0
US1CALK0018,20210524,SNOW,0,,,N,700.0
US1CALK0018,20210525,SNOW,0,,,N,700.0
US1CALK0018,20210526,SNOW,0,,,N,700.0
US1CALK0018,20210527,SNOW,0,,,N,700.0
US1CALK0018,20210528,SNOW,0,,,N,700.0
US1CALK0018,20210529,SNOW,0,,,N,700.0
US1CALK0018,20210530,SNOW,0,,,N,700.0
US1CALK0018,20210531,SNOW,0,,,N,700.0
US1CALK0018,20210601,PRCP,0,,,N,700.0
US1CALK0018,20210602,PRCP,0,,,N,700.0
US1CALK0018,20210603,PRCP,0,,,N,700.0
US1CALK0018,20210604,PRCP,0,,,N,700.0
US1CALK0018,20210605,PRCP,0,,,N,700.0
US1CALK0018,20210606,PRCP,0,,,N,700.0
US1CALK0018,20210607,PRCP,0,,,N,700.0
US1CALK0018,20210608,PRCP,0,,,N,700.0
US1CALK0018,20210609,PRCP,0,,,N,700.0
US1CALK0018,20210610,PRCP,0,,,N,700.0
US1CALK0018,20210611,PRCP,0,,,N,700.0
US1CALK0018,20210612,PRCP,0,,,N,700.0
US1CALK0018,20210613,PRCP,0,,,N,700.0
US1CALK0018,20210614,PRCP,0,,,N,700.0
US1CALK0018,20210615,PRCP,0,,,N,700.0
US1CALK0018,20210616,PRCP,0,,,N,700.0
US1CALK0018,20210617,PRCP,0,,,N,700.0
US1CALK0018,20210618,PRCP,0,,,N,700.0
US1CALK0018,20210619,PRCP,0,,,N,700.0
US1CALK0018,20210620,PRCP,0,,,N,700.0
US1CALK0018,20210621,PRCP,0,,,N,700.0
US1CALK0018,20210622,PRCP,0,,,N,700.0
US1CALK0018,20210623,PRCP,0,,,N,700.0
US1CALK0018,20210624,PRCP,0,,,N,700.0
US1CALK0018,20210625,PRCP,0,,,N,700.0
US1CALK0018,20210626,PRCP,0,,,N,700.0
US1CALK0018,20210627,PRCP,0,,,N,700.0
US1CALK0018,20210628,PRCP,0,,,N,700.0
US1CALK0018,20210629,PRCP,0,,,N,700.0
US1CALK0018,20210630,PRCP,0,,,N,700.0
US1CALK0018,20210601,SNOW,0,,,N,700.0
US1CALK0018,20210602,SNOW,0,,,N,700.0
US1CALK0018,20210603,SNOW,0,,,N,700.0
US1CALK0018,20210604,SNOW,0,,,N,700.0
US1CALK0018,20210605,SNOW,0,,,N,700.0
US1CALK0018,20210606,SNOW,0,,,N,700.0
US1CALK0018,20210607,SNOW,0,,,N,700.0
US1CALK0018,20210608,SNOW,0,,,N,700.0
US1CALK0018,20210609,SNOW,0,,,N,700.0
US1CALK0018,20210610,SNOW,0,,,N,700.0
US1CALK0018,20210611,SNOW,0,,,N,700.0
US1CALK0018,20210612,SNOW,0,,,N,700.0
US1CALK0018,20210613,SNOW,0,,,N,700.0
US1CALK0018,20210614,SNOW,0,,,N,700.0
US1CALK0018,20210615,SNOW,0,,,N,700.0
US1CALK0018,20210616,SNOW,0,,,N,700.0
US1CALK0018,20210617,SNOW,0,,,N,700.0
US1CALK0018,20210618,SNOW,0,,,N,700.0
US1CALK0018,20210619,SNOW,0,,,N,700.0
US1CALK0018,20210620,SNOW,0,,,N,700.0
US1CALK0018,20210621,SNOW,0,,,N,700.0
US1CALK0018,20210622,SNOW,0,,,N,700.0
US1CALK0018,20210623,SNOW,0,,,N,700.0
US1CALK0018,20210624,SNOW,0,,,N,700.0
US1CALK0018,20210625,SNOW,0,,,N,700.0
US1CALK0018,20210626,SNOW,0,,,N,700.0
US1CALK0018,20210627,SNOW,0,,,N,700.0
US1CALK0018,20210628,SNOW,0,,,N,700.0
