US1CACL0001,20150409,PRCP,51,,,N,700.0
US1CACL0001,20150414,PRCP,0,,,N,700.0
US1CACL0001,20150416,PRCP,0,,,N,700.0
US1CACL0001,20150423,PRCP,0,,,N,700.0
US1CACL0001,20150424,PRCP,0,,,N,700.0
US1CACL0001,20150425,PRCP,56,,,N,700.0
US1CACL0001,20150414,SNOW,0,,,N,700.0
US1CACL0001,20150416,SNOW,0,,,N,700.0
US1CACL0001,20150423,SNOW,0,,,N,700.0
US1CACL0001,20150424,SNOW,0,,,N,700.0
US1CACL0001,20150501,PRCP,0,,,N,700.0
US1CACL0001,20150502,PRCP,0,,,N,700.0
US1CACL0001,20150504,PRCP,0,,,N,700.0
US1CACL0001,20150511,PRCP,0,,,N,700.0
US1CACL0001,20150512,PRCP,0,,,N,700.0
US1CACL0001,20150513,PRCP,0,,,N,700.0
US1CACL0001,20150514,PRCP,0,,,N,700.0
US1CACL0001,20150515,PRCP,0,,,N,700.0
US1CACL0001,20150517,PRCP,0,,,N,700.0
US1CACL0001,20150518,PRCP,3,,,N,700.0
US1CACL0001,20150520,PRCP,0,,,N,700.0
US1CACL0001,20150521,PRCP,0,,,N,700.0
US1CACL0001,20150522,PRCP,0,,,N,700.0
US1CACL0001,20150526,PRCP,0,,,N,700.0
US1CACL0001,20150527,PRCP,0,,,N,700.0
US1CACL0001,20150528,PRCP,0,,,N,700.0
US1CACL0001,20150529,PRCP,0,,,N,700.0
US1CACL0001,20150501,SNOW,0,,,N,700.0
US1CACL0001,20150502,SNOW,0,,,N,700.0
US1CACL0001,20150504,SNOW,0,,,N,700.0
US1CACL0001,20150511,SNOW,0,,,N,700.0
US1CACL0001,20150512,SNOW,0,,,N,700.0
US1CACL0001,20150513,SNOW,0,,,N,700.0
US1CACL0001,20150514,SNOW,0,,,N,700.0
US1CACL0001,20150515,SNOW,0,,,N,700.0
US1CACL0001,20150517,SNOW,0,,,N,700.0
US1CACL0001,20150520,SNOW,0,,,N,700.0
US1CACL0001,20150521,SNOW,0,,,N,700.0
US1CACL0001,20150522,SNOW,0,,,N,700.0
US1CACL0001,20150526,SNOW,0,,,N,700.0
US1CACL0001,20150527,SNOW,0,,,N,700.0
US1CACL0001,20150528,SNOW,0,,,N,700.0
US1CACL0001,20150529,SNOW,0,,,N,700.0
US1CACL0001,20150601,PRCP,0,,,N,700.0
US1CACL0001,20150606,PRCP,0,,,N,700.0
US1CACL0001,20150610,PRCP,5,,,N,700.0
US1CACL0001,20150601,SNOW,0,,,N,700.0
US1CACL0001,20150606,SNOW,0,,,N,700.0
US1CACL0001,20150722,PRCP,0,,,N,700.0
US1CACL0001,20150722,SNOW,0,,,N,700.0
US1CACL0001,20150917,PRCP,5,,,N,700.0
US1CACL0001,20151102,PRCP,94,,,N,700.0
US1CACL0001,20151108,PRCP,69,,,N,700.0
US1CACL0001,20151109,PRCP,5,,,N,700.0
US1CACL0001,20151110,PRCP,150,,,N,700.0
US1CACL0001,20151115,PRCP,36,,,N,700.0
US1CACL0001,20151204,PRCP,23,,,N,700.0
US1CACL0001,20151206,PRCP,58,,,N,700.0
US1CACL0001,20151207,PRCP,20,,,N,700.0
US1CACL0001,20151209,PRCP,25,,,N,700.0
US1CACL0001,20151211,PRCP,13,,,N,700.0
US1CACL0001,20151212,PRCP,0,,,N,700.0
US1CACL0001,20151213,PRCP,91,,,N,700.0
US1CACL0001,20151221,PRCP,76,,,N,700.0
US1CACL0001,20151224,PRCP,0,,,N,700.0
US1CACL0001,20151228,PRCP,10,,,N,700.0
US1CACL0001,20151212,SNOW,0,,,N,700.0
US1CACL0001,20151224,SNOW,0,,,N,700.0
US1CACL0001,20160101,PRCP,0,,,N,700.0
US1CACL0001,20160104,PRCP,10,,,N,700.0
