USC00047950,19001025,TMAX,189,Unnamed: 4,Unnamed: 5,6,Unnamed: 7
USC00047950,19001219,TMIN,61,,,6,
USC00047950,19001220,TMIN,67,,,6,
USC00047950,19001221,TMIN,89,,,6,
USC00047950,19001222,TMIN,78,,,6,
USC00047950,19001223,TMIN,56,,,6,
USC00047950,19001224,TMIN,89,,,6,
USC00047950,19001225,TMIN,72,,,6,
USC00047950,19001226,TMIN,61,,,6,
USC00047950,19001227,TMIN,56,,,6,
USC00047950,19001228,TMIN,39,,,6,
USC00047950,19001229,TMIN,50,,,6,
USC00047950,19001230,TMIN,50,,,6,
USC00047950,19001231,TMIN,50,,,6,
USC00047950,19010101,TMAX,150,,,6,
USC00047950,19010102,TMAX,144,,,6,
USC00047950,19010103,TMAX,150,,,6,
USC00047950,19010104,TMAX,139,,,6,
USC00047950,19010105,TMAX,128,,,6,
USC00047950,19010106,TMAX,89,,,6,
USC00047950,19010107,TMAX,156,,,6,
USC00047950,19010108,TMAX,150,,,6,
USC00047950,19010109,TMAX,128,,,6,
USC00047950,19010110,TMAX,133,,,6,
USC00047950,19010111,TMAX,133,,,6,
USC00047950,19010112,TMAX,156,,,6,
USC00047950,19010113,TMAX,161,,,6,
USC00047950,19010114,TMAX,200,,,6,
USC00047950,19010115,TMAX,189,,,6,
USC00047950,19010116,TMAX,200,,,6,
USC00047950,19010117,TMAX,211,,,6,
USC00047950,19010118,TMAX,200,,,6,
USC00047950,19010119,TMAX,211,,,6,
USC00047950,19010121,TMAX,189,,,6,
USC00047950,19010122,TMAX,189,,,6,
USC00047950,19010123,TMAX,200,,,6,
USC00047950,19010124,TMAX,200,,,6,
USC00047950,19010126,TMAX,200,,,6,
USC00047950,19010127,TMAX,206,,,6,
USC00047950,19010128,TMAX,200,,,6,
USC00047950,19010129,TMAX,156,,,6,
USC00047950,19010130,TMAX,150,,,6,
USC00047950,19010131,TMAX,128,,,6,
USC00047950,19010101,TMIN,50,,,6,
USC00047950,19010102,TMIN,39,,,6,
USC00047950,19010103,TMIN,33,,,6,
USC00047950,19010104,TMIN,67,,,6,
USC00047950,19010105,TMIN,72,,,6,
USC00047950,19010106,TMIN,72,,,6,
USC00047950,19010107,TMIN,67,,,6,
USC00047950,19010108,TMIN,67,,,6,
USC00047950,19010109,TMIN,44,,,6,
USC00047950,19010110,TMIN,33,,,6,
USC00047950,19010111,TMIN,28,,,6,
USC00047950,19010112,TMIN,33,,,6,
USC00047950,19010113,TMIN,72,,,6,
USC00047950,19010114,TMIN,44,,,6,
USC00047950,19010115,TMIN,67,,,6,
USC00047950,19010116,TMIN,61,,,6,
USC00047950,19010117,TMIN,78,,,6,
USC00047950,19010118,TMIN,67,,,6,
USC00047950,19010121,TMIN,44,,,6,
USC00047950,19010122,TMIN,78,,,6,
USC00047950,19010123,TMIN,44,,,6,
USC00047950,19010124,TMIN,56,,,6,
USC00047950,19010125,TMIN,67,,,6,
USC00047950,19010126,TMIN,56,,,6,
USC00047950,19010127,TMIN,44,,,6,
USC00047950,19010130,TMIN,56,,,6,
USC00047950,19010131,TMIN,67,,,6,
USC00047950,19010101,PRCP,0,P,,6,
USC00047950,19010102,PRCP,0,P,,6,
USC00047950,19010103,PRCP,0,P,,6,
USC00047950,19010104,PRCP,61,,,6,
USC00047950,19010105,PRCP,198,,,6,
USC00047950,19010106,PRCP,183,,,6,
USC00047950,19010107,PRCP,0,P,,6,
USC00047950,19010108,PRCP,0,P,,6,
USC00047950,19010109,PRCP,0,P,,6,
USC00047950,19010110,PRCP,0,P,,6,
USC00047950,19010111,PRCP,0,P,,6,
USC00047950,19010112,PRCP,0,P,,6,
USC00047950,19010113,PRCP,0,P,,6,
USC00047950,19010114,PRCP,0,P,,6,
USC00047950,19010115,PRCP,0,P,,6,
USC00047950,19010116,PRCP,0,P,,6,
USC00047950,19010117,PRCP,0,P,,6,
USC00047950,19010118,PRCP,0,P,,6,
USC00047950,19010119,PRCP,0,P,,6,
USC00047950,19010120,PRCP,0,P,,6,
USC00047950,19010121,PRCP,175,,,6,
USC00047950,19010122,PRCP,0,P,,6,
USC00047950,19010123,PRCP,0,P,,6,
USC00047950,19010124,PRCP,0,P,,6,
USC00047950,19010125,PRCP,0,P,,6,
USC00047950,19010126,PRCP,13,,,6,
USC00047950,19010127,PRCP,0,P,,6,
USC00047950,19010128,PRCP,193,,,6,
USC00047950,19010129,PRCP,25,,,6,
USC00047950,19010130,PRCP,0,P,,6,
USC00047950,19010131,PRCP,0,P,,6,
USC00047950,19010201,TMAX,100,,,6,
USC00047950,19010202,TMAX,117,,,6,
USC00047950,19010203,TMAX,122,,,6,
USC00047950,19010204,TMAX,144,,,6,
USC00047950,19010205,TMAX,139,,,6,
USC00047950,19010206,TMAX,128,,,6,
USC00047950,19010207,TMAX,122,,,6,
USC00047950,19010208,TMAX,106,,,6,
USC00047950,19010209,TMAX,94,,,6,
USC00047950,19010210,TMAX,144,,,6,
USC00047950,19010211,TMAX,189,,,6,
USC00047950,19010212,TMAX,183,,,6,
USC00047950,19010213,TMAX,183,,,6,
USC00047950,19010214,TMAX,189,,,6,
USC00047950,19010215,TMAX,239,,,6,
USC00047950,19010216,TMAX,211,,,6,
USC00047950,19010217,TMAX,194,,,6,
USC00047950,19010218,TMAX,167,,,6,
USC00047950,19010219,TMAX,172,,,6,
USC00047950,19010220,TMAX,183,,,6,
USC00047950,19010221,TMAX,133,,,6,
USC00047950,19010222,TMAX,183,,,6,
USC00047950,19010223,TMAX,183,,,6,
USC00047950,19010224,TMAX,250,,,6,
USC00047950,19010225,TMAX,256,,,6,
USC00047950,19010226,TMAX,250,,,6,
USC00047950,19010227,TMAX,261,,,6,
USC00047950,19010228,TMAX,306,,,6,
USC00047950,19010201,TMIN,6,,,6,
USC00047950,19010202,TMIN,61,,,6,
USC00047950,19010203,TMIN,83,,,6,
USC00047950,19010204,TMIN,100,,,6,
USC00047950,19010205,TMIN,78,,,6,
USC00047950,19010206,TMIN,83,,,6,
USC00047950,19010207,TMIN,44,,,6,
USC00047950,19010208,TMIN,72,,,6,
USC00047950,19010209,TMIN,44,,,6,
USC00047950,19010210,TMIN,100,,,6,
USC00047950,19010211,TMIN,78,,,6,
USC00047950,19010212,TMIN,111,,,6,
USC00047950,19010213,TMIN,83,,,6,
USC00047950,19010214,TMIN,72,,,6,
USC00047950,19010215,TMIN,100,,,6,
USC00047950,19010216,TMIN,106,,,6,
USC00047950,19010217,TMIN,89,,,6,
USC00047950,19010218,TMIN,128,,,6,
USC00047950,19010219,TMIN,128,,,6,
USC00047950,19010220,TMIN,89,,,6,
USC00047950,19010221,TMIN,117,,,6,
USC00047950,19010222,TMIN,117,,,6,
USC00047950,19010223,TMIN,72,,,6,
USC00047950,19010224,TMIN,111,,,6,
USC00047950,19010225,TMIN,128,,,6,
USC00047950,19010226,TMIN,89,,,6,
USC00047950,19010227,TMIN,100,,,6,
USC00047950,19010228,TMIN,133,,,6,
USC00047950,19010201,PRCP,0,P,,6,
USC00047950,19010202,PRCP,0,P,,6,
USC00047950,19010203,PRCP,127,,,6,
USC00047950,19010204,PRCP,107,,,6,
USC00047950,19010205,PRCP,254,,,6,
USC00047950,19010206,PRCP,84,,,6,
USC00047950,19010207,PRCP,229,,,6,
USC00047950,19010208,PRCP,257,,,6,
USC00047950,19010209,PRCP,0,P,,6,
USC00047950,19010210,PRCP,0,P,,6,
USC00047950,19010211,PRCP,0,P,,6,
USC00047950,19010212,PRCP,0,P,,6,
USC00047950,19010213,PRCP,0,P,,6,
USC00047950,19010214,PRCP,0,P,,6,
USC00047950,19010215,PRCP,0,P,,6,
USC00047950,19010216,PRCP,0,P,,6,
USC00047950,19010217,PRCP,0,P,,6,
USC00047950,19010218,PRCP,0,P,,6,
USC00047950,19010219,PRCP,48,,,6,
USC00047950,19010220,PRCP,0,P,,6,
USC00047950,19010221,PRCP,0,P,,6,
USC00047950,19010222,PRCP,0,P,,6,
USC00047950,19010223,PRCP,0,P,,6,
USC00047950,19010224,PRCP,0,P,,6,
USC00047950,19010225,PRCP,0,P,,6,
USC00047950,19010226,PRCP,0,P,,6,
USC00047950,19010227,PRCP,0,P,,6,
USC00047950,19010228,PRCP,0,P,,6,
USC00047950,19010301,TMAX,306,,,6,
USC00047950,19010302,TMAX,300,,,6,
USC00047950,19010303,TMAX,228,,,6,
USC00047950,19010304,TMAX,200,,,6,
USC00047950,19010305,TMAX,211,,,6,
USC00047950,19010306,TMAX,200,,,6,
USC00047950,19010307,TMAX,194,,,6,
USC00047950,19010308,TMAX,178,,,6,
USC00047950,19010309,TMAX,178,,,6,
USC00047950,19010310,TMAX,200,,,6,
USC00047950,19010311,TMAX,167,,,6,
USC00047950,19010312,TMAX,183,,,6,
USC00047950,19010313,TMAX,194,,,6,
USC00047950,19010314,TMAX,206,,,6,
USC00047950,19010315,TMAX,261,,,6,
USC00047950,19010316,TMAX,272,,,6,
USC00047950,19010317,TMAX,244,,,6,
USC00047950,19010318,TMAX,194,,,6,
USC00047950,19010319,TMAX,194,,,6,
USC00047950,19010320,TMAX,239,,,6,
USC00047950,19010321,TMAX,189,,,6,
USC00047950,19010322,TMAX,183,,,6,
USC00047950,19010323,TMAX,211,,,6,
USC00047950,19010324,TMAX,228,,,6,
USC00047950,19010325,TMAX,194,,,6,
USC00047950,19010326,TMAX,200,,,6,
USC00047950,19010327,TMAX,161,,,6,
USC00047950,19010328,TMAX,144,,,6,
USC00047950,19010329,TMAX,156,,,6,
USC00047950,19010330,TMAX,161,,,6,
USC00047950,19010331,TMAX,161,,,6,
USC00047950,19010301,TMIN,139,,,6,
USC00047950,19010302,TMIN,89,,,6,
USC00047950,19010303,TMIN,128,,,6,
USC00047950,19010304,TMIN,106,,,6,
USC00047950,19010305,TMIN,122,,,6,
USC00047950,19010306,TMIN,111,,,6,
USC00047950,19010307,TMIN,78,,,6,
USC00047950,19010308,TMIN,117,,,6,
USC00047950,19010309,TMIN,83,,,6,
USC00047950,19010310,TMIN,106,,,6,
USC00047950,19010311,TMIN,56,,,6,
USC00047950,19010312,TMIN,94,,,6,
USC00047950,19010313,TMIN,94,,,6,
USC00047950,19010314,TMIN,72,,,6,
USC00047950,19010315,TMIN,106,,,6,
USC00047950,19010316,TMIN,122,,,6,
USC00047950,19010317,TMIN,111,,,6,
USC00047950,19010318,TMIN,67,,,6,
USC00047950,19010319,TMIN,106,,,6,
USC00047950,19010320,TMIN,89,,,6,
USC00047950,19010321,TMIN,78,,,6,
USC00047950,19010322,TMIN,111,,,6,
USC00047950,19010323,TMIN,128,,,6,
USC00047950,19010324,TMIN,83,,,6,
USC00047950,19010325,TMIN,50,,,6,
USC00047950,19010326,TMIN,83,,,6,
USC00047950,19010327,TMIN,56,,,6,
USC00047950,19010328,TMIN,33,,,6,
USC00047950,19010329,TMIN,33,,,6,
USC00047950,19010330,TMIN,44,,,6,
USC00047950,19010331,TMIN,39,,,6,
USC00047950,19010301,PRCP,0,P,,6,
USC00047950,19010302,PRCP,0,P,,6,
USC00047950,19010303,PRCP,0,P,,6,
USC00047950,19010304,PRCP,0,P,,6,
USC00047950,19010305,PRCP,0,P,,6,
USC00047950,19010306,PRCP,0,P,,6,
USC00047950,19010307,PRCP,0,P,,6,
USC00047950,19010308,PRCP,0,P,,6,
USC00047950,19010309,PRCP,0,P,,6,
USC00047950,19010310,PRCP,0,P,,6,
USC00047950,19010311,PRCP,28,,,6,
USC00047950,19010312,PRCP,0,P,,6,
USC00047950,19010313,PRCP,0,P,,6,
USC00047950,19010314,PRCP,0,P,,6,
USC00047950,19010315,PRCP,0,P,,6,
USC00047950,19010316,PRCP,0,P,,6,
USC00047950,19010317,PRCP,0,P,,6,
USC00047950,19010318,PRCP,0,P,,6,
USC00047950,19010319,PRCP,0,P,,6,
USC00047950,19010320,PRCP,0,P,,6,
USC00047950,19010321,PRCP,0,P,,6,
USC00047950,19010322,PRCP,0,P,,6,
USC00047950,19010323,PRCP,0,P,,6,
USC00047950,19010324,PRCP,0,P,,6,
USC00047950,19010325,PRCP,0,P,,6,
USC00047950,19010326,PRCP,0,P,,6,
USC00047950,19010327,PRCP,0,P,,6,
USC00047950,19010328,PRCP,0,P,,6,
USC00047950,19010329,PRCP,0,P,,6,
USC00047950,19010330,PRCP,23,,,6,
USC00047950,19010331,PRCP,0,P,,6,
USC00047950,19010401,TMAX,183,,,6,
USC00047950,19010402,TMAX,172,,,6,
USC00047950,19010403,TMAX,139,,,6,
USC00047950,19010404,TMAX,172,,,6,
USC00047950,19010405,TMAX,156,,,6,
USC00047950,19010406,TMAX,156,,,6,
USC00047950,19010407,TMAX,183,,,6,
USC00047950,19010408,TMAX,161,,,6,
USC00047950,19010409,TMAX,217,,,6,
USC00047950,19010410,TMAX,183,,,6,
USC00047950,19010411,TMAX,161,,,6,
USC00047950,19010412,TMAX,161,,,6,
USC00047950,19010413,TMAX,144,,,6,
USC00047950,19010414,TMAX,161,,,6,
USC00047950,19010415,TMAX,150,,,6,
USC00047950,19010416,TMAX,172,,,6,
USC00047950,19010417,TMAX,167,,,6,
USC00047950,19010418,TMAX,161,,,6,
USC00047950,19010419,TMAX,156,,,6,
USC00047950,19010420,TMAX,139,,I,6,
USC00047950,19010421,TMAX,172,,,6,
USC00047950,19010422,TMAX,183,,,6,
USC00047950,19010423,TMAX,167,,,6,
USC00047950,19010424,TMAX,167,,,6,
USC00047950,19010425,TMAX,172,,,6,
USC00047950,19010426,TMAX,178,,,6,
USC00047950,19010427,TMAX,178,,,6,
USC00047950,19010428,TMAX,183,,,6,
USC00047950,19010429,TMAX,178,,,6,
USC00047950,19010430,TMAX,178,,,6,
USC00047950,19010401,TMIN,117,,,6,
USC00047950,19010402,TMIN,67,,,6,
USC00047950,19010403,TMIN,83,,,6,
USC00047950,19010404,TMIN,33,,,6,
USC00047950,19010405,TMIN,39,,,6,
USC00047950,19010406,TMIN,44,,,6,
USC00047950,19010407,TMIN,94,,,6,
USC00047950,19010408,TMIN,94,,,6,
USC00047950,19010409,TMIN,100,,,6,
USC00047950,19010410,TMIN,61,,,6,
USC00047950,19010411,TMIN,61,,,6,
USC00047950,19010412,TMIN,72,,,6,
USC00047950,19010413,TMIN,89,,,6,
USC00047950,19010414,TMIN,50,,,6,
USC00047950,19010415,TMIN,89,,,6,
USC00047950,19010416,TMIN,111,,,6,
USC00047950,19010417,TMIN,83,,,6,
USC00047950,19010418,TMIN,78,,,6,
USC00047950,19010419,TMIN,150,,I,6,
USC00047950,19010420,TMIN,106,,,6,
USC00047950,19010421,TMIN,100,,,6,
USC00047950,19010422,TMIN,72,,,6,
USC00047950,19010423,TMIN,67,,,6,
USC00047950,19010424,TMIN,72,,,6,
USC00047950,19010425,TMIN,111,,,6,
USC00047950,19010426,TMIN,78,,,6,
USC00047950,19010427,TMIN,72,,,6,
USC00047950,19010428,TMIN,78,,,6,
USC00047950,19010429,TMIN,122,,,6,
USC00047950,19010430,TMIN,117,,,6,
USC00047950,19010401,PRCP,0,P,,6,
USC00047950,19010402,PRCP,0,P,,6,
USC00047950,19010403,PRCP,0,P,,6,
USC00047950,19010404,PRCP,0,P,,6,
USC00047950,19010405,PRCP,0,P,,6,
USC00047950,19010406,PRCP,0,P,,6,
USC00047950,19010407,PRCP,0,P,,6,
USC00047950,19010408,PRCP,0,P,,6,
USC00047950,19010409,PRCP,0,P,,6,
USC00047950,19010410,PRCP,0,P,,6,
USC00047950,19010411,PRCP,0,P,,6,
USC00047950,19010412,PRCP,0,P,,6,
USC00047950,19010413,PRCP,0,P,,6,
USC00047950,19010414,PRCP,0,P,,6,
USC00047950,19010415,PRCP,0,P,,6,
USC00047950,19010416,PRCP,0,P,,6,
USC00047950,19010417,PRCP,0,P,,6,
USC00047950,19010418,PRCP,0,P,,6,
USC00047950,19010419,PRCP,0,P,,6,
USC00047950,19010420,PRCP,0,P,,6,
USC00047950,19010421,PRCP,0,P,,6,
USC00047950,19010422,PRCP,0,P,,6,
USC00047950,19010423,PRCP,0,P,,6,
USC00047950,19010424,PRCP,0,P,,6,
USC00047950,19010425,PRCP,0,P,,6,
USC00047950,19010426,PRCP,0,P,,6,
USC00047950,19010427,PRCP,0,P,,6,
USC00047950,19010428,PRCP,0,P,,6,
USC00047950,19010429,PRCP,127,,,6,
USC00047950,19010430,PRCP,0,P,,6,
USC00047950,19010501,TMAX,178,,,6,
USC00047950,19010502,TMAX,172,,,6,
USC00047950,19010503,TMAX,178,,,6,
USC00047950,19010504,TMAX,183,,,6,
USC00047950,19010505,TMAX,161,,,6,
USC00047950,19010506,TMAX,189,,,6,
USC00047950,19010507,TMAX,161,,,6,
USC00047950,19010508,TMAX,172,,,6,
USC00047950,19010509,TMAX,178,,,6,
USC00047950,19010510,TMAX,178,,,6,
USC00047950,19010511,TMAX,167,,,6,
USC00047950,19010512,TMAX,167,,,6,
USC00047950,19010513,TMAX,178,,,6,
USC00047950,19010514,TMAX,189,,,6,
USC00047950,19010515,TMAX,189,,,6,
USC00047950,19010516,TMAX,150,,,6,
USC00047950,19010517,TMAX,178,,,6,
USC00047950,19010518,TMAX,189,,,6,
USC00047950,19010519,TMAX,189,,,6,
USC00047950,19010520,TMAX,161,,,6,
USC00047950,19010521,TMAX,172,,,6,
USC00047950,19010522,TMAX,161,,,6,
USC00047950,19010523,TMAX,167,,,6,
USC00047950,19010524,TMAX,178,,,6,
USC00047950,19010525,TMAX,161,,,6,
USC00047950,19010526,TMAX,172,,,6,
USC00047950,19010527,TMAX,178,,,6,
USC00047950,19010528,TMAX,167,,,6,
USC00047950,19010529,TMAX,183,,,6,
USC00047950,19010530,TMAX,178,,,6,
USC00047950,19010531,TMAX,178,,,6,
USC00047950,19010501,TMIN,94,,,6,
USC00047950,19010502,TMIN,72,,,6,
USC00047950,19010503,TMIN,106,,,6,
USC00047950,19010504,TMIN,78,,,6,
USC00047950,19010505,TMIN,94,,,6,
USC00047950,19010506,TMIN,117,,,6,
USC00047950,19010507,TMIN,122,,,6,
USC00047950,19010508,TMIN,122,,,6,
USC00047950,19010509,TMIN,117,,,6,
USC00047950,19010510,TMIN,117,,,6,
USC00047950,19010511,TMIN,122,,,6,
USC00047950,19010512,TMIN,122,,,6,
USC00047950,19010513,TMIN,144,,,6,
USC00047950,19010514,TMIN,133,,,6,
USC00047950,19010515,TMIN,128,,,6,
USC00047950,19010516,TMIN,117,,,6,
USC00047950,19010517,TMIN,128,,,6,
USC00047950,19010518,TMIN,122,,,6,
USC00047950,19010519,TMIN,78,,,6,
USC00047950,19010520,TMIN,78,,,6,
USC00047950,19010521,TMIN,61,,,6,
USC00047950,19010522,TMIN,83,,,6,
USC00047950,19010523,TMIN,83,,,6,
USC00047950,19010524,TMIN,100,,,6,
USC00047950,19010525,TMIN,100,,,6,
USC00047950,19010526,TMIN,67,,,6,
USC00047950,19010527,TMIN,89,,,6,
USC00047950,19010528,TMIN,78,,,6,
USC00047950,19010529,TMIN,89,,,6,
USC00047950,19010530,TMIN,100,,,6,
USC00047950,19010531,TMIN,122,,,6,
USC00047950,19010501,PRCP,25,,,6,
USC00047950,19010502,PRCP,53,,,6,
USC00047950,19010503,PRCP,0,P,,6,
USC00047950,19010504,PRCP,0,P,,6,
USC00047950,19010505,PRCP,0,P,,6,
USC00047950,19010506,PRCP,0,P,,6,
USC00047950,19010507,PRCP,0,P,,6,
