USC00045844,19060303,PRCP,51,Unnamed: 4,Unnamed: 5,6,Unnamed: 7
USC00045844,19061105,PRCP,127,,,6,
USC00045844,19061106,PRCP,0,P,,6,
USC00045844,19061107,PRCP,0,P,,6,
USC00045844,19061108,PRCP,0,P,,6,
USC00045844,19061109,PRCP,0,P,,6,
USC00045844,19061110,PRCP,0,P,,6,
USC00045844,19061111,PRCP,0,P,,6,
USC00045844,19061112,PRCP,0,P,,6,
USC00045844,19061113,PRCP,0,P,,6,
USC00045844,19061114,PRCP,0,P,,6,
USC00045844,19061115,PRCP,0,P,,6,
USC00045844,19061116,PRCP,0,P,,6,
USC00045844,19061117,PRCP,0,P,,6,
USC00045844,19061118,PRCP,0,P,,6,
USC00045844,19061119,PRCP,0,P,,6,
USC00045844,19061120,PRCP,0,P,,6,
USC00045844,19061121,PRCP,0,P,,6,
USC00045844,19061122,PRCP,0,P,,6,
USC00045844,19061123,PRCP,0,P,,6,
USC00045844,19061124,PRCP,0,P,,6,
USC00045844,19061125,PRCP,0,P,,6,
USC00045844,19061126,PRCP,0,P,,6,
USC00045844,19061127,PRCP,0,P,,6,
USC00045844,19061128,PRCP,165,,,6,
USC00045844,19061129,PRCP,0,P,,6,
USC00045844,19061130,PRCP,0,P,,6,
USC00045844,19061104,WT16,1,,,6,
USC00045844,19061128,WT16,1,,,6,
USC00045844,19061201,PRCP,0,P,,6,
USC00045844,19061202,PRCP,0,P,,6,
USC00045844,19061203,PRCP,0,P,,6,
USC00045844,19061204,PRCP,0,P,,6,
USC00045844,19061205,PRCP,0,P,,6,
USC00045844,19061206,PRCP,0,P,,6,
USC00045844,19061207,PRCP,0,P,,6,
USC00045844,19061208,PRCP,53,,,6,
USC00045844,19061209,PRCP,0,P,,6,
USC00045844,19061210,PRCP,130,,,6,
USC00045844,19061211,PRCP,1029,,,6,
USC00045844,19061212,PRCP,508,,,6,
USC00045844,19061213,PRCP,117,,,6,
USC00045844,19061214,PRCP,43,,,6,
USC00045844,19061215,PRCP,0,P,,6,
USC00045844,19061216,PRCP,0,P,,6,
USC00045844,19061217,PRCP,0,P,,6,
USC00045844,19061218,PRCP,0,P,,6,
USC00045844,19061219,PRCP,0,P,,6,
USC00045844,19061220,PRCP,0,P,,6,
USC00045844,19061221,PRCP,0,P,,6,
USC00045844,19061222,PRCP,0,P,,6,
USC00045844,19061223,PRCP,97,,,6,
USC00045844,19061224,PRCP,112,,,6,
USC00045844,19061225,PRCP,279,,,6,
USC00045844,19061226,PRCP,25,,,6,
USC00045844,19061227,PRCP,0,P,,6,
USC00045844,19061228,PRCP,0,P,,6,
USC00045844,19061229,PRCP,0,P,,6,
USC00045844,19061230,PRCP,0,P,,6,
USC00045844,19061231,PRCP,191,,,6,
USC00045844,19061219,WT01,1,,,6,
USC00045844,19061220,WT01,1,,,6,
USC00045844,19061221,WT01,1,,,6,
USC00045844,19061211,WT16,1,,,6,
USC00045844,19061224,WT16,1,,,6,
USC00045844,19061225,WT16,1,,,6,
