USC00042148,19511204,PRCP,411,Unnamed: 4,Unnamed: 5,0,Unnamed: 7
USC00042148,19511204,SNOW,0,,,0,
USC00042148,19511204,SNWD,0,,,0,
USC00042148,19530302,PRCP,0,,,0,800.0
USC00042148,19530303,PRCP,0,,,0,800.0
USC00042148,19530304,PRCP,0,,,0,800.0
USC00042148,19530305,PRCP,0,,,0,800.0
USC00042148,19530306,PRCP,0,,,0,800.0
USC00042148,19530307,PRCP,0,,,0,800.0
USC00042148,19530308,PRCP,0,,,0,800.0
USC00042148,19530309,PRCP,0,,,0,800.0
USC00042148,19530310,PRCP,249,,,0,800.0
USC00042148,19530311,PRCP,259,,,0,800.0
USC00042148,19530312,PRCP,381,,,0,800.0
USC00042148,19530313,PRCP,142,,,0,800.0
USC00042148,19530314,PRCP,0,,,0,800.0
USC00042148,19530315,PRCP,0,,,0,800.0
USC00042148,19530316,PRCP,76,,,0,800.0
USC00042148,19530317,PRCP,216,,,0,800.0
USC00042148,19530318,PRCP,51,,,0,800.0
USC00042148,19530319,PRCP,513,,,0,800.0
USC00042148,19530320,PRCP,396,,,0,800.0
USC00042148,19530321,PRCP,279,,,0,800.0
USC00042148,19530322,PRCP,119,,,0,800.0
USC00042148,19530323,PRCP,0,,,0,800.0
USC00042148,19530324,PRCP,0,T,,0,800.0
USC00042148,19530325,PRCP,122,,,0,800.0
USC00042148,19530326,PRCP,0,,,0,800.0
USC00042148,19530327,PRCP,0,,,0,800.0
USC00042148,19530328,PRCP,69,,,0,800.0
USC00042148,19530329,PRCP,102,,,0,800.0
USC00042148,19530330,PRCP,0,T,,0,800.0
USC00042148,19530331,PRCP,0,,,0,800.0
USC00042148,19530302,SNOW,0,,,0,
USC00042148,19530303,SNOW,0,,,0,
USC00042148,19530304,SNOW,0,,,0,
USC00042148,19530305,SNOW,0,,,0,
USC00042148,19530306,SNOW,0,,,0,
USC00042148,19530307,SNOW,0,,,0,
USC00042148,19530308,SNOW,0,,,0,
USC00042148,19530309,SNOW,0,,,0,
USC00042148,19530310,SNOW,0,,,0,
USC00042148,19530311,SNOW,0,,,0,
USC00042148,19530312,SNOW,0,,,0,
USC00042148,19530313,SNOW,0,,,0,
USC00042148,19530314,SNOW,0,,,0,
USC00042148,19530315,SNOW,0,,,0,
USC00042148,19530316,SNOW,0,,,0,
USC00042148,19530317,SNOW,0,,,0,
USC00042148,19530318,SNOW,0,,,0,
USC00042148,19530319,SNOW,0,,,0,
USC00042148,19530320,SNOW,0,,,0,
USC00042148,19530321,SNOW,0,,,0,
USC00042148,19530322,SNOW,0,,,0,
USC00042148,19530323,SNOW,0,,,0,
USC00042148,19530324,SNOW,0,,,0,
USC00042148,19530325,SNOW,0,,,0,
USC00042148,19530326,SNOW,0,,,0,
USC00042148,19530327,SNOW,0,,,0,
USC00042148,19530328,SNOW,0,,,0,
USC00042148,19530329,SNOW,0,,,0,
USC00042148,19530330,SNOW,0,,,0,
USC00042148,19530331,SNOW,0,,,0,
USC00042148,19530302,SNWD,0,,,0,
USC00042148,19530303,SNWD,0,,,0,
USC00042148,19530304,SNWD,0,,,0,
USC00042148,19530305,SNWD,0,,,0,
USC00042148,19530306,SNWD,0,,,0,
USC00042148,19530307,SNWD,0,,,0,
USC00042148,19530308,SNWD,0,,,0,
USC00042148,19530309,SNWD,0,,,0,
USC00042148,19530310,SNWD,0,,,0,
USC00042148,19530311,SNWD,0,,,0,
USC00042148,19530312,SNWD,0,,,0,
USC00042148,19530313,SNWD,0,,,0,
USC00042148,19530314,SNWD,0,,,0,
USC00042148,19530315,SNWD,0,,,0,
USC00042148,19530316,SNWD,0,,,0,
USC00042148,19530317,SNWD,0,,,0,
USC00042148,19530318,SNWD,0,,,0,
USC00042148,19530319,SNWD,0,,,0,
USC00042148,19530320,SNWD,0,,,0,
USC00042148,19530321,SNWD,0,,,0,
USC00042148,19530322,SNWD,0,,,0,
USC00042148,19530323,SNWD,0,,,0,
USC00042148,19530324,SNWD,0,,,0,
USC00042148,19530325,SNWD,0,,,0,
USC00042148,19530326,SNWD,0,,,0,
USC00042148,19530327,SNWD,0,,,0,
USC00042148,19530328,SNWD,0,,,0,
USC00042148,19530329,SNWD,0,,,0,
USC00042148,19530330,SNWD,0,,,0,
USC00042148,19530331,SNWD,0,,,0,
USC00042148,19530501,PRCP,0,,,0,800.0
USC00042148,19530502,PRCP,0,,,0,800.0
USC00042148,19530503,PRCP,0,,,0,800.0
USC00042148,19530504,PRCP,0,,,0,800.0
USC00042148,19530505,PRCP,0,,,0,800.0
USC00042148,19530506,PRCP,0,,,0,800.0
USC00042148,19530507,PRCP,300,,,0,800.0
USC00042148,19530508,PRCP,315,,,0,800.0
USC00042148,19530509,PRCP,0,,,0,800.0
USC00042148,19530510,PRCP,0,,,0,800.0
USC00042148,19530511,PRCP,0,,,0,800.0
USC00042148,19530512,PRCP,0,,,0,800.0
USC00042148,19530513,PRCP,0,,,0,800.0
USC00042148,19530514,PRCP,0,,,0,800.0
USC00042148,19530515,PRCP,0,,,0,800.0
USC00042148,19530516,PRCP,0,,,0,800.0
USC00042148,19530517,PRCP,0,,,0,800.0
USC00042148,19530518,PRCP,0,,,0,800.0
USC00042148,19530519,PRCP,671,,,0,800.0
USC00042148,19530520,PRCP,38,,,0,800.0
USC00042148,19530521,PRCP,356,,,0,800.0
USC00042148,19530522,PRCP,102,,,0,800.0
USC00042148,19530523,PRCP,163,,,0,800.0
USC00042148,19530524,PRCP,0,,,0,800.0
USC00042148,19530525,PRCP,0,,,0,800.0
USC00042148,19530526,PRCP,150,,,0,800.0
USC00042148,19530527,PRCP,130,,,0,800.0
USC00042148,19530528,PRCP,0,,,0,800.0
USC00042148,19530529,PRCP,0,,,0,800.0
USC00042148,19530530,PRCP,0,,,0,800.0
USC00042148,19530531,PRCP,0,,,0,800.0
USC00042148,19530501,SNOW,0,,,0,
USC00042148,19530502,SNOW,0,,,0,
USC00042148,19530503,SNOW,0,,,0,
USC00042148,19530504,SNOW,0,,,0,
USC00042148,19530505,SNOW,0,,,0,
USC00042148,19530506,SNOW,0,,,0,
USC00042148,19530507,SNOW,0,,,0,
USC00042148,19530508,SNOW,0,,,0,
USC00042148,19530509,SNOW,0,,,0,
USC00042148,19530510,SNOW,0,,,0,
USC00042148,19530511,SNOW,0,,,0,
USC00042148,19530512,SNOW,0,,,0,
USC00042148,19530513,SNOW,0,,,0,
USC00042148,19530514,SNOW,0,,,0,
USC00042148,19530515,SNOW,0,,,0,
USC00042148,19530516,SNOW,0,,,0,
USC00042148,19530517,SNOW,0,,,0,
USC00042148,19530518,SNOW,0,,,0,
USC00042148,19530519,SNOW,0,,,0,
USC00042148,19530520,SNOW,0,,,0,
USC00042148,19530521,SNOW,0,,,0,
USC00042148,19530522,SNOW,0,,,0,
USC00042148,19530523,SNOW,0,,,0,
USC00042148,19530524,SNOW,0,,,0,
USC00042148,19530525,SNOW,0,,,0,
USC00042148,19530526,SNOW,0,,,0,
USC00042148,19530527,SNOW,0,,,0,
USC00042148,19530528,SNOW,0,,,0,
USC00042148,19530529,SNOW,0,,,0,
USC00042148,19530530,SNOW,0,,,0,
USC00042148,19530531,SNOW,0,,,0,
USC00042148,19530501,SNWD,0,,,0,
USC00042148,19530502,SNWD,0,,,0,
USC00042148,19530503,SNWD,0,,,0,
USC00042148,19530504,SNWD,0,,,0,
USC00042148,19530505,SNWD,0,,,0,
USC00042148,19530506,SNWD,0,,,0,
USC00042148,19530507,SNWD,0,,,0,
USC00042148,19530508,SNWD,0,,,0,
USC00042148,19530509,SNWD,0,,,0,
USC00042148,19530510,SNWD,0,,,0,
USC00042148,19530511,SNWD,0,,,0,
USC00042148,19530512,SNWD,0,,,0,
USC00042148,19530513,SNWD,0,,,0,
USC00042148,19530514,SNWD,0,,,0,
USC00042148,19530515,SNWD,0,,,0,
USC00042148,19530516,SNWD,0,,,0,
USC00042148,19530517,SNWD,0,,,0,
USC00042148,19530518,SNWD,0,,,0,
USC00042148,19530519,SNWD,0,,,0,
USC00042148,19530520,SNWD,0,,,0,
USC00042148,19530521,SNWD,0,,,0,
USC00042148,19530522,SNWD,0,,,0,
USC00042148,19530523,SNWD,0,,,0,
USC00042148,19530524,SNWD,0,,,0,
USC00042148,19530525,SNWD,0,,,0,
USC00042148,19530526,SNWD,0,,,0,
USC00042148,19530527,SNWD,0,,,0,
