US1CASH0013,20100213,PRCP,30,,,N,700
US1CASH0013,20100214,PRCP,0,,,N,700
US1CASH0013,20100215,PRCP,10,,,N,700
US1CASH0013,20100216,PRCP,0,,,N,700
US1CASH0013,20100217,PRCP,0,,,N,700
US1CASH0013,20100218,PRCP,0,,,N,700
US1CASH0013,20100219,PRCP,0,,,N,700
US1CASH0013,20100220,PRCP,0,,,N,700
US1CASH0013,20100221,PRCP,127,,,N,700
US1CASH0013,20100208,SNOW,0,,,N,700
US1CASH0013,20100214,SNOW,0,,,N,700
US1CASH0013,20100216,SNOW,0,,,N,700
US1CASH0013,20100217,SNOW,0,,,N,700
US1CASH0013,20100218,SNOW,0,,,N,700
US1CASH0013,20100219,SNOW,0,,,N,700
US1CASH0013,20100220,SNOW,0,,,N,700
US1CASH0013,20100403,PRCP,287,,,N,700
US1CASH0013,20100404,PRCP,0,T,,N,700
US1CASH0013,20100405,PRCP,140,,,N,700
US1CASH0013,20100406,PRCP,28,,,N,700
US1CASH0013,20100410,PRCP,0,T,,N,700
US1CASH0013,20100412,PRCP,343,,,N,700
US1CASH0013,20100413,PRCP,348,,,N,700
US1CASH0013,20100603,PRCP,33,,,N,700
US1CASH0013,20100604,PRCP,58,,,N,700
US1CASH0013,20100605,PRCP,30,,,N,700
US1CASH0013,20110215,PRCP,180,,,N,700
US1CASH0013,20110216,PRCP,310,,,N,700
US1CASH0013,20110217,PRCP,53,,,N,700
US1CASH0013,20110218,PRCP,376,,,N,700
US1CASH0013,20110219,PRCP,66,,,N,700
US1CASH0013,20110221,PRCP,46,,,N,700
US1CASH0013,20110225,PRCP,71,,,N,700
US1CASH0013,20110301,PRCP,0,T,,N,700
US1CASH0013,20110302,PRCP,188,,,N,700
US1CASH0013,20110303,PRCP,450,,,N,700
US1CASH0013,20110305,PRCP,13,,,N,700
US1CASH0013,20110306,PRCP,127,,,N,700
US1CASH0013,20110307,PRCP,46,,,N,700
US1CASH0013,20110309,PRCP,0,T,,N,700
US1CASH0013,20110310,PRCP,8,,,N,800
US1CASH0013,20110313,PRCP,5,,,N,700
US1CASH0013,20110314,PRCP,102,,,N,700
US1CASH0013,20110315,PRCP,132,,,N,700
US1CASH0013,20110316,PRCP,386,,,N,700
US1CASH0013,20110318,PRCP,71,,,N,700
US1CASH0013,20110319,PRCP,442,,,N,700
US1CASH0013,20110320,PRCP,513,,,N,700
US1CASH0013,20110321,PRCP,58,,,N,700
US1CASH0013,20110322,PRCP,36,,,N,700
US1CASH0013,20110324,PRCP,483,,,N,700
US1CASH0013,20110325,PRCP,206,,,N,700
US1CASH0013,20110326,PRCP,345,,,N,700
US1CASH0013,20110328,PRCP,173,,,N,700
US1CASH0013,20110329,PRCP,0,,,N,700
US1CASH0013,20110329,SNOW,0,,,N,700
US1CASH0013,20110417,PRCP,5,,,N,700
US1CASH0013,20110418,PRCP,41,,,N,700
US1CASH0013,20110420,PRCP,76,,,N,700
US1CASH0013,20110421,PRCP,157,,,N,700
US1CASH0013,20110423,PRCP,23,,,N,700
US1CASH0013,20110424,PRCP,10,,,N,700
US1CASH0013,20110425,PRCP,25,,,N,700
US1CASH0013,20110426,PRCP,3,,,N,700
US1CASH0013,20110629,PRCP,381,,,N,700
US1CASH0013,20110912,PRCP,0,T,,N,700
US1CASH0013,20110925,PRCP,0,T,,N,700
US1CASH0013,20111004,PRCP,46,,,N,700
US1CASH0013,20111005,PRCP,465,,,N,700
US1CASH0013,20111006,PRCP,122,,,N,700
US1CASH0013,20111007,PRCP,5,,,N,700
US1CASH0013,20120229,PRCP,142,,,N,700
US1CASH0013,20120301,PRCP,20,,,N,700
US1CASH0013,20120315,PRCP,290,,,N,700
US1CASH0013,20120316,PRCP,216,,,N,700
US1CASH0013,20120326,PRCP,356,,,N,700
US1CASH0013,20120327,PRCP,89,,,N,700
US1CASH0013,20120328,PRCP,381,,,N,700
US1CASH0013,20120329,PRCP,10,,,N,700
US1CASH0013,20120706,PRCP,0,,,N,700
US1CASH0013,20120706,SNOW,0,,,N,700
